id|titolo|autore|anno|synopsis|collocazione
11|La Portalettere|"Iaconis, Francesca"|2023|"In un piccolo paese della Calabria, negli anni '30, arriva una donna del nord, Anna, che vince il concorso per diventare la nuova portalettere. La sua presenza, la sua indipendenza e la sua cultura sconvolgono la mentalità chiusa e maschilista del paese. Un romanzo che parla di emancipazione femminile, di pregiudizi e del potere della cultura. Una storia vera, ispirata alla nonna dell'autrice, che ci regala un personaggio femminile indimenticabile."|Letteratura - Opere 853.92 IAC
12|"L'anno delle parole nascoste"|"Iaconis, Francesca"|2022|"La storia di un'amicizia speciale tra un bambino e un anziano signore, che si incontrano ogni giorno al parco. Il bambino non parla, ma l'anziano signore, con pazienza e affetto, gli insegna a trovare le parole nascoste dentro di sé. Un romanzo delicato e poetico, che celebra il potere della comunicazione e la bellezza dei legami intergenerazionali. Una favola moderna, adatta a lettori di tutte le età."|Letteratura - Opere 853.92 IAC
13|"La casa sull'argine"|"Pitzalis, Daniela"|2021|"Una saga familiare che attraversa un secolo di storia italiana, dalla fine dell'Ottocento ai giorni nostri. Al centro della storia, una casa sull'argine di un fiume e le donne che l'hanno abitata. Un romanzo epico e corale, che ci racconta le guerre, le lotte, gli amori e le speranze di una famiglia e di un paese. Daniela Pitzalis ci regala un affresco potente e commovente, che ci ricorda le nostre radici e la nostra storia."|Letteratura - Opere 853.92 PIT
14|"L'acqua del lago non è mai dolce"|"Geda, Fabio"|2021|"La storia di un'adolescenza difficile, in una periferia degradata. Il protagonista, un ragazzo intelligente e sensibile, cerca di sopravvivere in un mondo violento e senza speranza. Un romanzo di formazione duro e realistico, che racconta la rabbia, la solitudine e la ricerca di un riscatto. Fabio Geda, con la sua scrittura asciutta e incisiva, ci regala un ritratto potente e senza sconti della fragilità giovanile."|Letteratura - Opere 853.92 GED
15|"Cambiare l'acqua ai fiori"|"Perrin, Valérie"|2019|"Violette Toussaint è la guardiana di un cimitero in un piccolo paese della Borgogna. La sua vita scorre tranquilla, tra la cura delle tombe, le chiacchiere con i visitatori e il suo giardino segreto. Ma un giorno, l'arrivo di un poliziotto, che le porta la richiesta di una donna defunta, sconvolgerà la sua routine e la costringerà a fare i conti con il suo passato. Un romanzo poetico, commovente e pieno di speranza, che celebra le piccole gioie della vita e la capacità di rinascere."|Letteratura - Opere 843.92 PER
16|La malnata|"Tuzii, Beatrice"|2022|"In un piccolo paese, durante il fascismo, nasce un'amicizia speciale tra due bambine: una, la figlia del podestà; l'altra, la ""malnata"", una ragazzina selvatica e ribelle, accusata di portare sfortuna. Un romanzo di formazione che racconta la forza dell'amicizia, il coraggio di essere se stessi e la resistenza contro l'ingiustizia. Beatrice Tuzii ci regala una storia potente e indimenticabile, con due protagoniste che entrano nel cuore."|Letteratura - Opere 853.92 TUZ
17|"Il pane perduto"|"Parrella, Valeria"|2021|"La storia di una donna che, attraverso il rito della panificazione, cerca di ritrovare se stessa e di elaborare un lutto. Un romanzo intimo e sensoriale, che parla di dolore, di memoria e di rinascita. Valeria Parrella, con la sua scrittura lirica e profonda, ci regala un ritratto femminile di grande intensità, e ci mostra come i gesti più semplici possano diventare un modo per curare le ferite dell'anima."|Letteratura - Opere 853.92 PAR
18|"La casa delle onde"|"Montfort, Rosario"|2022|"Una donna torna nella casa della sua infanzia, affacciata sul mare, e si ritrova a fare i conti con i ricordi e con un segreto di famiglia. Un romanzo che parla di legami, di perdono e del potere evocativo dei luoghi. Rosario Montfort ci trasporta in un'atmosfera magica e sognante, dove il suono delle onde accompagna le emozioni delle protagoniste. Una storia che sa di sale, di sole e di nostalgia."|Letteratura - Opere 863.7 MON
19|La straniera|"Durastanti, Claudia"|2019|"Un romanzo autobiografico, che racconta la storia di una ragazza cresciuta tra l'Italia e l'America, con due genitori sordi e problematici. Un viaggio alla ricerca della propria identità, tra lingue diverse, culture diverse e un senso costante di sradicamento. Claudia Durastanti, con una scrittura originale e potentissima, ci regala un memoir che è anche un saggio sulla lingua, sulla famiglia e sul significato di essere ""stranieri"". Un libro unico e indimenticabile."|Letteratura - Opere 853.92 DUR
20|"Il tempo è un bastardo"|"Egan, Jennifer"|2011|"Un romanzo polifonico e non lineare, che racconta le vite di un gruppo di personaggi legati al mondo della musica rock. Tredici capitoli, tredici storie, tredici stili diversi, che si intrecciano e si rincorrono nel tempo. Un'opera sperimentale e geniale, che ha vinto il Premio Pulitzer. Jennifer Egan gioca con la struttura narrativa e con il linguaggio, e ci offre un ritratto frammentato e potente della nostra epoca, dove il tempo è un bastardo che ci sfugge sempre di mano."|Letteratura - Opere 813.6 EGA
21|Almarina|"Parrella, Valeria"|2019|"Elisabetta è un'insegnante di matematica nel carcere minorile di Nisida. Un giorno, in classe, arriva Almarina, una ragazzina rumena che ha attraversato il mare e la violenza. Tra le due nasce un legame speciale, che le aiuterà a trovare la speranza e un futuro. Un romanzo breve ma intenso, che parla di scuola, di giustizia e della possibilità di redenzione. Valeria Parrella ci regala una storia toccante e necessaria, che dà voce a chi non ne ha."|Letteratura - Opere 853.92 PAR
22|L'Arminuta|"Di Pietrantonio, Donatella"|2017|"Una ragazzina di tredici anni, l'""arminuta"" (la ritornata), viene restituita alla sua famiglia d'origine, che non ha mai conosciuto. Passa da una vita agiata a una povera e rurale, e deve imparare a conoscere una madre, un padre e dei fratelli che le sono estranei. Un romanzo potente e commovente, che racconta il dramma dell'abbandono e la ricerca delle proprie radici. Donatella Di Pietrantonio, con una scrittura scarna e folgorante, ha creato un personaggio indimenticabile."|Letteratura - Opere 853.92 DIP
23|"Borgo sud"|"Di Pietrantonio, Donatella"|2020|"Il seguito de ""L'Arminuta"". Ritroviamo la protagonista, ormai adulta, che vive a Grenoble e insegna letteratura. Una telefonata la costringe a tornare a Pescara, a Borgo Sud, e a fare i conti con sua sorella Adriana e con un passato che non è mai veramente passato. Un romanzo che esplora la complessità dei legami familiari, la forza e la fragilità delle donne, e il rapporto viscerale con la propria terra. Una scrittura ancora più matura e intensa."|Letteratura - Opere 853.92 DIP
24|"Bella mia"|"Di Pietrantonio, Donatella"|2014|"Dopo il terremoto dell'Aquila, una donna si ritrova a dover crescere da sola il nipote adolescente, rimasto orfano. Insieme, cercano di sopravvivere al dolore, alla perdita e a una città distrutta. Un romanzo che racconta la tragedia del terremoto con delicatezza e profondità, e che celebra la resilienza e la forza dei legami umani. ""Bella mia"" è un inno alla vita, che rinasce anche dalle macerie."|Letteratura - Opere 853.92 DIP
25|"La vita attesa"|"Di Pietrantonio, Donatella"|2024|Sinopsis no disponible.|Letteratura - Opere 853.92 DIP
26|"La figlia del mercante di seta"|"Jefferies, Dinah"|2019|"Vietnam, 1952. Nicole, una giovane franco-vietnamita, gestisce l'azienda di famiglia, un'impresa di seta. Ma la guerra e le tensioni politiche minacciano la sua vita e i suoi affari. Un romanzo storico avvincente, che ci trasporta in un mondo esotico e affascinante. Dinah Jefferies intreccia la storia d'amore, il dramma familiare e il contesto storico, regalandoci un ritratto vivido e appassionante di un paese in conflitto."|Letteratura - Opere 823.92 JEF
27|"La sorella perduta"|"Jefferies, Dinah"|2018|"Birmania, anni '30. Belle, una giovane fotografa, si innamora di un uomo misterioso e si ritrova coinvolta in un intrigo che la porterà a scoprire un segreto sulla sua famiglia e sulla sorella che credeva morta. Un romanzo che unisce l'avventura, il mistero e la passione, ambientato in uno scenario esotico e suggestivo. Dinah Jefferies si conferma una grande narratrice di storie, capace di creare atmosfere uniche e personaggi indimenticabili."|Letteratura - Opere 823.92 JEF
28|"Il profumo delle foglie di tè"|"Jefferies, Dinah"|2016|"Ceylon, anni '20. Gwendolyn, una giovane sposa inglese, si trasferisce in una piantagione di tè per raggiungere il marito. Lì, scopre un mondo nuovo, ma anche i segreti e le bugie che si nascondono dietro la facciata coloniale. Un romanzo che parla di amore, di tradimento e della ricerca della propria identità. Una storia avvincente e ben documentata, che ci trasporta in un'epoca e in un luogo lontani."|Letteratura - Opere 823.91 JEF
29|"Il silenzio della pioggia d'estate"|"Jefferies, Dinah"|2017|"India, anni '30. Una giovane fotografa inglese arriva a palazzo reale per ritrarre la famiglia del maharajah. Lì, scopre un mondo di lusso, di intrighi e di segreti, e si innamora di un uomo che non potrà mai avere. Un romanzo che unisce la storia d'amore al dramma storico, e che ci regala un ritratto affascinante dell'India coloniale. Dinah Jefferies ci trasporta in un'atmosfera da ""Mille e una notte"", piena di colori, di profumi e di emozioni."|Letteratura - Opere 823.92 JEF
30|"La ladra di frutta"|"Handke, Peter"|2022|"Una giovane donna compie un viaggio a piedi attraverso la Francia, dalla periferia di Parigi alla Piccardia. Un percorso che è anche un viaggio interiore, alla ricerca di se stessa e di un contatto autentico con la natura e con le persone. Un romanzo filosofico e poetico, che riflette sullo stato del mondo e sulla possibilità di trovare un senso nell'erranza. Peter Handke, premio Nobel per la letteratura, ci regala un'opera densa e suggestiva, da leggere lentamente."|Letteratura - Opere 833.91 HAN
31|"La mia vita all'ombra del mare"|"Handke, Peter"|2023|"Un uomo si ritira in una casa sulla costa, per scrivere e per osservare il mondo. La sua solitudine è interrotta da incontri, da ricordi e da riflessioni sulla vita, sull'arte e sulla natura. Un romanzo contemplativo e lirico, che esplora i temi cari a Handke: il viaggio, la memoria, il linguaggio e la ricerca di un'epifania. Una scrittura precisa e musicale, che ci invita a guardare il mondo con occhi nuovi."|Letteratura - Opere 833.91 HAN
32|"Il grande mistero"|"Calabrò, Corrado"|2023|"Un romanzo che si interroga sui grandi misteri della vita: l'amore, la morte, il tempo, l'universo. Attraverso le riflessioni del protagonista, un uomo che ha vissuto una vita intensa, Corrado Calabrò ci guida in un viaggio filosofico e poetico. Una scrittura colta e raffinata, che unisce la narrazione alla saggistica e alla poesia. Un libro per chi ama le domande più che le risposte."|Letteratura - Opere 853.92 CAL
33|Le perfezioni|"Calixto, Correa"|2023|"Una coppia di giovani brasiliani vive a Ginevra, in un appartamento perfetto, con una vita perfetta. Ma dietro questa facciata di perfezione si nasconde un vuoto esistenziale, una noia e un'insoddisfazione profonda. Un romanzo che, con ironia e lucidità, critica la società contemporanea, l'ossessione per l'immagine e la ricerca di una felicità standardizzata. Un ritratto impietoso e divertente della nostra epoca."|Letteratura - Opere 869.3 CAL
34|"Tutto chiede salvezza"|"Mencarelli, Daniele"|2020|"Un ragazzo di vent'anni, dopo una crisi psicotica, viene sottoposto a un TSO (Trattamento Sanitario Obbligatorio) e si ritrova in un reparto di psichiatria per una settimana. Lì, condivide la stanza e le giornate con altri cinque pazienti, ognuno con la sua storia e il suo dolore. Un romanzo autobiografico, potente e commovente, che racconta la malattia mentale con onestà e senza retorica. Un inno alla fragilità e alla richiesta di salvezza che accomuna tutti gli esseri umani."|Letteratura - Opere 853.92 MEN
35|"Sempre tornare"|"Mencarelli, Daniele"|2021|"Due ragazzi, amici per la pelle, partono per un viaggio estivo dopo la maturità. Un'avventura che dovrebbe essere spensierata, ma che si trasforma in un confronto con le proprie paure, i propri desideri e le proprie responsabilità. Un romanzo di formazione che racconta la fine dell'adolescenza e l'ingresso nel mondo degli adulti. Daniele Mencarelli, con la sua scrittura poetica e viscerale, ci regala un'altra storia di grande intensità emotiva."|Letteratura - Opere 853.92 MEN
36|"Fame d'aria"|"Mencarelli, Daniele"|2023|"Un padre viaggia con il figlio, gravemente disabile, per portarlo a una visita medica. Un guasto all'auto li costringe a fermarsi in un piccolo paese, dove si scontreranno con l'indifferenza, il pregiudizio, ma anche con un'inaspettata umanità. Un romanzo che racconta l'amore incondizionato di un padre, la fatica quotidiana dell'assistenza e la ""fame d'aria"" di chi si sente solo e incompreso. Una storia dura, ma piena di amore e di dignità."|Letteratura - Opere 853.92 MEN
37|"Cose che nessuno sa"|"D'Avenia, Alessandro"|2011|"Margherita è un'adolescente che vede il suo mondo crollare quando suo padre se ne va di casa. Per cercare di capire, inizia a leggere l'Odissea, e scopre che il viaggio di Ulisse è anche il suo. Un romanzo di formazione che parla di crescita, di dolore e della ricerca del proprio posto nel mondo. Alessandro D'Avenia, con la sua scrittura poetica e la sua profonda conoscenza del mondo giovanile, ci regala una storia che sa parlare al cuore di adolescenti e adulti."|Letteratura - Opere 853.92 DAV
38|L'appello|"D'Avenia, Alessandro"|2020|"Omero, un professore cieco, arriva in una classe difficile, una ""quinta sperimentale"". Invece di fare l'appello leggendo i nomi, chiede ai suoi studenti: ""Come stai?"". Un gesto semplice, che darà inizio a una rivoluzione. Un romanzo che parla di scuola, di fragilità e del potere salvifico dell'incontro. D'Avenia ci regala un inno alla professione dell'insegnante e un messaggio di speranza per tutti i ragazzi che si sentono persi."|Letteratura - Opere 853.92 DAV
39|"Ciò che inferno non è"|"D'Avenia, Alessandro"|2014|"Palermo, 1993. Federico è un ragazzo di buona famiglia che, durante le vacanze estive, incontra don Pino Puglisi, il prete del quartiere Brancaccio, e decide di aiutarlo. Un'esperienza che gli cambierà la vita. Un romanzo che racconta la storia vera di padre Puglisi, ucciso dalla mafia, e che ci mostra come, anche nell'inferno, sia possibile trovare la bellezza, l'amore e la speranza. Un libro potente e commovente, che è un omaggio a un eroe dei nostri tempi."|Letteratura - Opere 853.92 DAV
40|La storia|"Schulmann, Elza"|2023|"Una donna, dopo la morte della madre, trova i suoi diari e scopre una storia familiare che non conosceva. Una storia che si intreccia con la grande Storia del Novecento, con la Shoah, con l'esilio e con la ricerca di un'identità. Un romanzo che è insieme una saga familiare, un memoir e una riflessione sulla memoria. Elsa Zylberstein (che firma con lo pseudonimo di Elza Schulmann) ci regala un'opera intensa e personale, che ci ricorda l'importanza di conoscere il nostro passato."|Letteratura - Opere 843.92 SCH
41|Il colibrì|"Veronesi, Sandro"|2019|"Marco Carrera è il colibrì. La sua è una vita di continue sospensioni, di dolori, di perdite, ma lui riesce a rimanere fermo, a resistere alle avversità, come un colibrì che sbatte le ali per non cadere. Un romanzo che attraversa decenni di storia italiana e familiare, e che racconta l'amore, la morte, la resilienza e la forza dei legami. Un'opera complessa e commovente, che ha vinto il Premio Strega e che ha consacrato Sandro Veronesi come uno dei più grandi scrittori italiani contemporanei."|Letteratura - Opere 853.92 VER
42|"Mio fratello rincorre i dinosauri"|"Mazzariol, Giacomo"|2016|"Giacomo ha un fratello, Giovanni, che ha la sindrome di Down. All'inizio, Giacomo se ne vergogna, ma poi, a poco a poco, scopre che suo fratello è un supereroe, con un superpotere: la semplicità. Un romanzo autobiografico, divertente e commovente, che racconta la disabilità con uno sguardo nuovo, pieno di amore e di ironia. Una storia che ha conquistato migliaia di lettori e che è diventata un film di successo."|Letteratura - Opere 853.92 MAZ
43|"La solitudine dei numeri primi"|"Giordano, Paolo"|2008|"Alice e Mattia sono due ""numeri primi"", soli e isolati, segnati da un'infanzia difficile. Le loro vite si incrociano, si sfiorano, ma non riescono mai a unirsi veramente. Un romanzo d'esordio folgorante, che ha vinto il Premio Strega e che è diventato un caso letterario internazionale. Paolo Giordano, con una scrittura precisa e chirurgica, racconta la solitudine, il dolore e l'incapacità di amare di una generazione. Un libro che lascia il segno."|Letteratura - Opere 853.91 GIO
44|Il colibrì|"Veronesi, Sandro"|2019|"Marco Carrera è il colibrì. La sua è una vita di continue sospensioni, di dolori, di perdite, ma lui riesce a rimanere fermo, a resistere alle avversità, come un colibrì che sbatte le ali per non cadere. Un romanzo che attraversa decenni di storia italiana e familiare, e che racconta l'amore, la morte, la resilienza e la forza dei legami. Un'opera complessa e commovente, che ha vinto il Premio Strega e che ha consacrato Sandro Veronesi come uno dei più grandi scrittori italiani contemporanei."|Letteratura - Opere 853.92 VER
45|"La vita bugiarda degli adulti"|"Ferrante, Elena"|2019|"Giovanna è un'adolescente che vive nella Napoli bene. Un giorno, sente suo padre dire che assomiglia a sua zia Vittoria, una donna che non ha mai conosciuto e che è considerata la pecora nera della famiglia. Questa frase innesca in lei un viaggio alla scoperta di se stessa e del mondo degli adulti, un mondo fatto di bugie, di ipocrisie e di segreti. Un romanzo di formazione potente e spietato, che conferma il talento di Elena Ferrante nel raccontare le complessità dell'animo umano."|Letteratura - Opere 853.92 FER
46|Le assaggiatrici|"Postorino, Rosella"|2018|"Germania, 1943. Rosa Sauer è una delle dieci donne assunte per assaggiare il cibo di Hitler, per assicurarsi che non sia avvelenato. Un romanzo basato su una storia vera, che racconta l'orrore della guerra da una prospettiva inedita. Rosella Postorino esplora la psicologia delle sue protagoniste, il loro rapporto con il cibo, con la paura e con la colpa. Un libro intenso e originale, che ha vinto il Premio Campiello."|Letteratura - Opere 853.92 POS
47|"La casa degli spiriti"|"Allende, Isabel"|1983|"La saga della famiglia Trueba, che attraversa un secolo di storia cilena. Un romanzo che intreccia realismo magico, passione, politica e storia. Al centro, tre generazioni di donne straordinarie: Clara la chiaroveggente, Blanca la ribelle, Alba la rivoluzionaria. Un'opera epica e indimenticabile, che ha consacrato Isabel Allende come una delle più grandi scrittrici del nostro tempo."|Letteratura - Opere 863 ALL
48|"La ragazza del treno"|"Hawkins, Paula"|2015|"Rachel prende ogni giorno lo stesso treno e osserva dal finestrino una coppia che le sembra perfetta. Ma un giorno, vede qualcosa che non avrebbe dovuto vedere, e la sua vita si intreccia con quella della coppia in un vortice di bugie, di segreti e di violenza. Un thriller psicologico mozzafiato, che gioca con la memoria, l'alcolismo e l'inaffidabilità della percezione. Un bestseller mondiale, che ha tenuto con il fiato sospeso milioni di lettori."|GIALLI HAW
49|"I leoni di Sicilia"|"Auci, Stefania"|2019|"La saga della famiglia Florio, che da semplice bottega di spezie arriva a costruire un impero economico nella Sicilia dell'Ottocento. Un romanzo storico avvincente, che racconta l'ascesa sociale, le ambizioni, gli amori e le rivalità di una dinastia che ha segnato la storia di un'isola e di un paese. Stefania Auci ci regala un affresco potente e documentato, che ha conquistato la critica e il pubblico."|Letteratura - Opere 853.92 AUC
50|"Il nome della rosa"|"Eco, Umberto"|1980|"In un'abbazia benedettina del Nord Italia, nel 1327, avvengono una serie di misteriosi delitti. Il francescano Guglielmo da Baskerville, insieme al suo giovane novizio Adso da Melk, indaga per scoprire l'assassino. Un romanzo che è insieme un giallo storico, un saggio filosofico, un trattato di semiotica e un'opera letteraria di straordinaria ricchezza. Un capolavoro assoluto, che ha reso Umberto Eco famoso in tutto il mondo."|Letteratura - Opere 853.91 ECO
51|Canne al vento|"Deledda, Grazia"|1913|"In un piccolo paese della Sardegna, vivono le tre sorelle Pintor, nobili decadute, insieme al loro servo Efix. Le loro vite sono segnate dalla miseria, dalla solitudine e dal peso di una colpa antica. Un romanzo che racconta la Sardegna arcaica, con le sue tradizioni, le sue superstizioni e il suo senso tragico del destino. Grazia Deledda, premio Nobel per la letteratura, ci regala un'opera lirica e potente, che è un classico della letteratura italiana."|Letteratura - Opere 853.91 DEL
52|Cecità|"Saramago, José"|1996|"Un'intera città viene colpita da un'epidemia di ""cecità bianca"". I ciechi vengono rinchiusi in un ex manicomio, dove la convivenza si trasforma in una lotta per la sopravvivenza. Un'allegoria potente e terribile della società umana, che ci costringe a riflettere sulla nostra natura, sulla solidarietà e sulla barbarie. José Saramago, premio Nobel per la letteratura, ha scritto un romanzo che è un pugno nello stomaco, ma anche un inno alla speranza."|Letteratura - Opere 869.3 SAR
53|Se questo è un uomo|"Levi, Primo"|1947|"La testimonianza lucida e spietata di Primo Levi sulla sua esperienza nel campo di concentramento di Auschwitz. Un libro fondamentale per capire l'orrore della Shoah e per non dimenticare. Levi, con uno stile asciutto e preciso, analizza la logica perversa del lager, la disumanizzazione dei prigionieri e la lotta per mantenere un briciolo di dignità. Un classico della letteratura mondiale, un'opera che ogni essere umano dovrebbe leggere."|Letteratura - Opere 853.91 LEV
54|"La Tregua"|"Levi, Primo"|1963|"Il racconto del viaggio di ritorno di Primo Levi da Auschwitz a Torino, dopo la liberazione. Un'odissea attraverso un'Europa distrutta e caotica, un viaggio che è anche una ""tregua"" tra l'orrore del lager e il difficile ritorno alla vita. Un libro che unisce il racconto di avventura alla riflessione sulla condizione umana, con un tono più leggero e a tratti picaresco rispetto a ""Se questo è un uomo"", ma non per questo meno profondo."|Letteratura - Opere 853.91 LEV
55|Sostiene Pereira|"Tabucchi, Antonio"|1994|"Lisbona, 1938. Pereira è un vecchio giornalista, vedovo e cardiopatico, che si occupa della pagina culturale di un piccolo giornale. L'incontro con un giovane, Monteiro Rossi, e con la sua fidanzata Marta, lo costringerà a prendere posizione contro il regime salazarista. Un romanzo che è un inno alla libertà di stampa, alla coscienza civile e al coraggio di scegliere da che parte stare. Un capolavoro della letteratura italiana contemporanea."|Letteratura - Opere 853.91 TAB
56|"La coscienza di Zeno"|"Svevo, Italo"|1923|"Zeno Cosini, su consiglio del suo psicanalista, scrive la sua autobiografia, ripercorrendo i momenti salienti della sua vita: il vizio del fumo, il rapporto con il padre, il matrimonio, l'amante. Un romanzo che ha rivoluzionato la letteratura italiana, introducendo i temi della psicanalisi, dell'inettitudine e dell'autoinganno. Un'opera ironica, profonda e modernissima, che ci regala un personaggio indimenticabile."|Letteratura - Opere 853.91 SVE
57|Il Gattopardo|"Tomasi di Lampedusa, Giuseppe"|1958|"La storia del principe di Salina, Don Fabrizio, che assiste al declino della sua classe sociale, l'aristocrazia borbonica, durante il Risorgimento in Sicilia. Un romanzo che riflette sulla storia, sul potere e sul tempo che passa. La celebre frase ""Se vogliamo che tutto rimanga come è, bisogna che tutto cambi"" riassume perfettamente lo spirito del libro. Un capolavoro postumo, che è uno dei più grandi romanzi del Novecento italiano."|Letteratura - Opere 853.91 TOM
58|"Uno, nessuno e centomila"|"Pirandello, Luigi"|1926|"Vitangelo Moscarda scopre, grazie a un'osservazione della moglie, che il suo naso pende leggermente a destra. Questa rivelazione banale scatena in lui una crisi d'identità: si rende conto che l'immagine che gli altri hanno di lui non corrisponde a quella che lui ha di se stesso. Inizia così un percorso folle per distruggere le ""centomila"" maschere che gli altri gli hanno imposto, alla ricerca del suo vero ""uno"", che forse non esiste. Il romanzo summa del pensiero pirandelliano."|Letteratura - Opere 853.91 PIR
59|"Il fu Mattia Pascal"|"Pirandello, Luigi"|1904|"Mattia Pascal, oppresso da una vita infelice, decide di fuggire e di fingersi morto. Con una nuova identità, Adriano Meis, cerca di costruirsi una nuova vita, ma scopre che senza un'identità ufficiale non si può vivere veramente. Un romanzo che esplora i temi del caso, dell'identità e della maschera sociale. Un'opera fondamentale per capire il pensiero di Pirandello e la crisi dell'uomo moderno."|Letteratura - Opere 853.91 PIR
60|Marcovaldo|"Calvino, Italo"|1963|"Marcovaldo è un manovale che vive in una città industriale. Ha un animo sensibile e poetico, e cerca disperatamente un contatto con la natura, ma ogni volta i suoi tentativi si scontrano con la realtà artificiale e consumistica della città. Venti racconti, uno per ogni stagione, che ci offrono un ritratto agrodolce e ironico della società del boom economico. Un classico per ragazzi e per adulti, che ci insegna a guardare il mondo con occhi diversi."|Letteratura - Opere 853.91 CAL
